row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000117650	1467.03747030496	4.22406805506212	0.111352742059297	37.9341179834866	0	0	NEK2
ENSG00000123500	8544.8551813638	7.09603906379712	0.155142206874986	45.7389333743018	0	0	COL10A1
ENSG00000119927	4873.46848283832	-4.45348625639935	0.106272504780354	-41.9062886078004	0	0	GPAM
ENSG00000101605	576.789958818567	-4.7356689100476	0.122353225442177	-38.7048963599709	0	0	MYOM1
ENSG00000099953	17135.5206286775	6.22925431165002	0.142393304042161	43.7468204951942	0	0	MMP11
ENSG00000022267	9141.80713329039	-5.0306795379957	0.139681963123579	-36.0152408048917	4.83015357974436e-284	1.56851187246232e-280	FHL1
ENSG00000079308	15300.3517775581	-3.12096761236812	0.0875479117697513	-35.6486813823291	2.46976954766329e-278	6.87442712381021e-275	TNS1
ENSG00000060718	11952.3285594448	6.15315499531711	0.175925602432531	34.9758927082651	5.23309754176612e-268	1.27452090629714e-264	COL11A1
ENSG00000090889	1559.26300847017	3.81494505769326	0.111566332594365	34.1944112437909	2.92764006467972e-256	6.33801544669107e-253	KIF4A
ENSG00000127564	1117.86929298146	3.97668230296966	0.116330361857454	34.1843886623727	4.1253685194231e-256	8.03786802324397e-253	PKMYT1
ENSG00000133800	770.273818519996	-4.95657560440754	0.14816320076674	-33.4534862824063	2.29019425884421e-245	4.05655863084732e-242	LYVE1
ENSG00000170145	3799.36537758424	-2.4678025704543	0.0748877049986755	-32.9533742621428	3.78486691350816e-238	6.14536224523276e-235	SIK2
ENSG00000203805	457.572676867441	4.97937961633418	0.151403324292879	32.8881789061774	3.24360093952522e-237	4.86140928505456e-234	PLPP4
ENSG00000095637	6654.77940869284	-3.6866578342774	0.112137996731974	-32.8760807372816	4.83008913472209e-237	6.72210405006609e-234	SORBS1
ENSG00000134962	370.234881494927	-4.72616699782935	0.143972066317557	-32.8269720558493	2.42799808283577e-236	3.15380764306481e-233	KLB
ENSG00000105974	8663.60363687332	-3.40206753553414	0.103647679892371	-32.8233833990966	2.73183762006664e-236	3.32669526183615e-233	CAV1
ENSG00000173641	992.925580290772	-5.10690924016461	0.157251966933667	-32.4759641468831	2.32983006791263e-231	2.67025935548293e-228	HSPB7
ENSG00000166803	1095.79035273739	3.29078809342274	0.101733591798217	32.3471140186402	1.52321620896488e-229	1.64879692308176e-226	PCLAF
ENSG00000169418	1190.69216859154	-3.61749728311711	0.112095288021623	-32.2716266398219	1.74983334088253e-228	1.70468764068776e-225	NPR1
ENSG00000183856	2250.61067293534	3.68180107980136	0.11408560110065	32.2722678785129	1.71396036652863e-228	1.70468764068776e-225	IQGAP3
ENSG00000056998	2274.14411287112	-4.14145262577567	0.12875299038866	-32.1658752412202	5.29831811034415e-227	4.91583000294978e-224	GYG2
ENSG00000181856	306.429529695392	-4.66280045133136	0.144988593633553	-32.1597743276012	6.44820225407335e-227	5.71076239628933e-224	SLC2A4
ENSG00000120049	994.656290939497	-5.14255455483269	0.160404740644996	-32.0598663989244	1.59961387019901e-225	1.35508159334598e-222	KCNIP2
ENSG00000135437	152.088674592308	-4.28629951483122	0.13413332988333	-31.9555141034631	4.5290265237832e-224	3.67681469955799e-221	RDH5
ENSG00000175063	2257.40845206248	4.16789838430145	0.13107136928849	31.7986941536245	6.74777348705992e-222	5.25894474487502e-219	UBE2C
ENSG00000131471	4841.11500221249	-3.98818819488267	0.125680792146874	-31.732678691442	5.50539255668829e-221	4.12565648363518e-218	AOC3
ENSG00000123612	574.753721402666	-5.22960216762949	0.165835726432657	-31.5348343817406	2.89438693062738e-218	2.08867536875348e-215	ACVR1C
ENSG00000029559	160.570715700292	6.90888274640575	0.219563445875839	31.4664525274059	2.50034093097605e-217	1.73988009639777e-214	IBSP
ENSG00000088325	4458.46395145658	3.54755518523755	0.112758848673712	31.461434973525	2.92840608714866e-217	1.96748497248291e-214	TPX2
ENSG00000158402	342.894552968072	3.36544782594744	0.107235281830231	31.383773777696	3.36913738861961e-216	2.18814242932882e-213	CDC25C
ENSG00000105011	1535.55445399326	3.03906811627556	0.0970171033876264	31.3250757872366	2.12629636138266e-215	1.3364115582316e-212	ASF1B
ENSG00000143228	1002.33370214426	3.75204060742353	0.120290334697742	31.1915385126446	1.38766709944269e-213	8.4491580517317e-211	NUF2
ENSG00000276043	1238.69584834597	3.32292038606637	0.106676354603187	31.1495494800784	5.14378553582644e-213	3.0370156781831e-210	UHRF1
ENSG00000025423	304.527545013773	2.98013105935518	0.0959652779565937	31.0542638213702	9.99242417694152e-212	5.72624684304496e-209	HSD17B6
ENSG00000172901	152.027232304255	-5.08406471845546	0.164062176040739	-30.9886461410399	7.66687353496654e-211	4.26803897015109e-208	LVRN
ENSG00000077152	1331.28798614869	3.1977098136193	0.103547542137595	30.8815617213795	2.1124760957154e-209	1.14331900691441e-206	UBE2T
ENSG00000148180	37731.8310605371	-2.54707681760168	0.0824840627841032	-30.8796236706779	2.24290420780726e-209	1.18110123202477e-206	GSN
ENSG00000163815	889.634473558613	-3.91046903667702	0.126644698222856	-30.8774792119272	2.39661812862968e-209	1.22883441100581e-206	CLEC3B
ENSG00000152253	417.944231127906	2.79300577677627	0.0906778921000966	30.8013972545056	2.50994349011255e-208	1.25394202465008e-205	SPC25
ENSG00000115306	22723.2353491859	-2.05845967588557	0.0670752572805108	-30.6888077562943	8.02775679915861e-207	3.91032033687016e-204	SPTBN1
